rgi_id,C,80;o1region,C,80;o2region,C,80;glims_id,C,80;anlys_id,N,18,0;subm_id,N,18,0;src_date,C,80;cenlon,N,24,15;cenlat,N,24,15;utm_zone,N,18,0;area_km2,N,24,15;primeclass,N,18,0;conn_lvl,N,18,0;surge_type,N,18,0;term_type,N,18,0;glac_name,C,80;is_rgi6,N,18,0;termlon,N,24,15;termlat,N,24,15;zmin_m,N,24,15;zmax_m,N,24,15;zmed_m,N,24,15;zmean_m,N,24,15;slope_deg,N,24,15;aspect_deg,N,24,15;aspect_sec,N,18,0;dem_source,C,80;lmax_m,N,18,0
RGI2000-v7.0-G-11-00256;11;11-01;G006351E44891N;752652;731;2003-08-13T00:00:00;6,349449;44,890911;32;0,3008;0;0;0;0;FR4N01166D05 de Coste Rouge;0;6,343711799562740;44,890350490596400;2583,2;3209,0;2840,0;2856,3;31,31;287,5;7;COPDEM30;1254
RGI2000-v7.0-G-11-00257;11;11-01;G006348E44885N;752647;731;2003-08-13T00:00:00;6,348038;44,884567;32;0,0585;0;0;0;0;FR4N01166D06 Long;0;6,346971865834380;44,886946876611300;2909,6;3429,8;3198,5;3207,7;44,55;335,2;8;COPDEM30;566
RGI2000-v7.0-G-11-00258;11;11-01;G006345E44880N;752641;731;2003-08-13T00:00:00;6,345221;44,879606;32;0,0343;0;0;0;0;;0;6,344059254347880;44,879361960262900;2936,6;3141,3;3013,8;3015,0;35,95;266,0;7;COPDEM30;267
RGI2000-v7.0-G-11-00259;11;11-01;G006345E44877N;752640;731;2003-08-13T00:00:00;6,345352;44,876815;32;0,0440;0;0;0;0;FR4N01166D07 Gris;0;6,343307080877270;44,877171816553400;2951,9;3254,5;3072,8;3080,4;43,09;303,9;8;COPDEM30;351
RGI2000-v7.0-G-11-00260;11;11-01;G006349E44875N;752651;731;2003-08-13T00:00:00;6,348776;44,874555;32;0,0367;0;0;0;0;FR4N01166D08 de la Cime du Coin;0;6,347214898617240;44,874021578228900;3296,2;3443,2;3388,3;3385,0;30,40;275,8;7;COPDEM30;247
RGI2000-v7.0-G-11-00261;11;11-01;G006356E44878N;752661;731;2003-08-13T00:00:00;6,354494;44,875703;32;0,4682;0;0;0;0;FR4N01083B07 de l'Ailefroide 1;0;6,358309522103100;44,874416495454800;3002,8;3625,4;3181,1;3217,1;32,64;113,9;4;COPDEM30;1244
RGI2000-v7.0-G-11-00262;11;11-01;G006364E44882N;752677;731;2003-08-13T00:00:00;6,363336;44,882235;32;0,6331;0;0;0;0;Glacier de l'Ailefroide_1;0;6,366741899662440;44,876931085183800;2990,1;3761,8;3443,7;3406,5;33,84;163,4;5;COPDEM30;1149
RGI2000-v7.0-G-11-00263;11;11-01;G006371E44885N;752685;731;2003-08-13T00:00:00;6,371133;44,884821;32;0,0207;0;0;0;0;;0;6,372363384925830;44,884447452191200;3431,3;3584,4;3490,3;3496,3;40,83;123,4;4;COPDEM30;205
RGI2000-v7.0-G-11-00264;11;11-01;G006376E44885N;752689;731;2003-09-21T00:00:00;6,374111;44,886704;32;0,1813;0;0;0;0;FR4N01083B08 du Coup de Sabre 1;0;6,376825463323120;44,884368178607900;3140,2;3526,5;3298,6;3303,1;35,54;104,0;3;COPDEM30;653
RGI2000-v7.0-G-11-00265;11;11-01;G006380E44888N;752691;731;2003-09-21T00:00:00;6,379569;44,888334;32;0,0908;0;0;0;0;;0;6,380501678198020;44,885898319204700;3082,6;3373,6;3246,4;3231,7;33,33;157,6;5;COPDEM30;519
